lgl_nm,total_spend,num_orders
STEALTH POWER LLC,4984619.6,63
TECHLINE PIPE LP,4972628.11,2063
"HEART OF TEXAS MUSIC, INC",4971921.67,89
ENVIRONMENTAL IMPROVEMENTS INC,4943644.63,2108
CDW GOVERNMENT INC,4919599.77,1150
"KIMLEY-HORN AND ASSOCIATES, INC",4876750.99,21
Georgetown Mac Haik Dodge Chrysler Jeep LTD,4806529.39,83
ALTEC INDUSTRIES INC,4802113.53,51
SANTA CLARA CONSTRUCTION LTD,4758242.17,1
PROFESSIONAL AMBULANCE SALES & SERVICE,4719718.5,2
WORKPLACE RESOURCE LLC,4586160.03,296
Brazos Technology Corporation,4544603,146
MES I Acquisition Inc,4466367.66,30
VULCAN CONSTRUCTION MATERIALS,4464048.23,273
RED WING BRANDS OF AMERICA INC,4462513.15,2964
TRANSAMERICAN POWER PRODUCTS,4443016.50,95
ORACLE AMERICA INC,4440302.30,5
"EST Group, LLC",4435580.57,88
SOUTHERN SAFETY SALES INC,4410960.89,1726
Copper River Information Technology LLC,4391057.29,11
FERGUSON ENTERPRISES INC,4390759.74,2493
National Bus Sales & Leasing Inc,4382891.9,10
TEXAS HIGHWAY PRODUCTS LTD,4361187.25,275
MCCAIN INC,4345200.9,93
GRID SOLUTIONS (US) LLC,4344552.71,56
"Texas Materials Group, Inc.",4338688.88,178
Charles Leo Walior,4277960.64,35
COUFAL-PRATER EQUIPMENT LLC,4217517.03,136
TELVENT USA LLC,4163247,10
AutoZone Parts Inc.,4130900.46,50
STRYKER CORP,4127728.64,116
FACILITIES RESOURCE INC,4119937.97,172
AMERICAN MATERIAL HANDLING INC,4117626.99,73
HD SUPPLY WATERWORKS LTD,4099816.73,3295
JOHN BEAN TECHNOLOGIES CORPORATION,4094323.83,492
"A & V Holdings Midco, LLC",4066944.95,212
"Mobotrex, Inc.",4058554.0,73
Texas Lime Company,4014429.60,8
"ITS Plus, Inc.",4005460,66
AFMA INC,3977227.11,654
"ENNIS-FLINT, INC.",3973233.60,392
"Forsythe Brothers Infrastructure, LLC.",3956886.49,68
THIRKETTLE CORPORATION,3898630.19,120
BASF Corporation,3854755.06,101
VIEUX & ASSOCIATES INC,3847813.45,33
"eClinicalWorks, LLC",3846304.89,21
SHELTON-KELLER GROUP INC,3825599.66,135
EWT HOLDINGS III CORP,3792774.97,254
Seon Systems Sales Inc.,3779564.75,19
FACILITIES REHABILITATION INC,3774900,1
SOUTHERN TIRE MART LLC,3747922.41,295
Alfred Williams & Company,3744231.20,27
BRIDGESTONE AMERICAS INC,3743824.38,25
AUSTIN RIBBON & COMPUTER,3674185.06,763
PENCCO INC,3635806.72,413
CIMA SOLUTIONS GROUP LTD,3615175.20,35
DOOLEY TACKABERRY INC,3572468.13,654
CAPITOL BEARING SERVICE OF AUSTIN INC,3551113.26,315
"US PEROXIDE, LLC",3541273.60,54
"TEQSYS, Inc.",3528874.61,26
"Smith Power Products, Inc.",3527502.15,84
PRECISION TASK GROUP INC,3459696.72,4
"San Antonio Ambulance Sales, Inc.",3432871.01,10
WEBBERVILLE PROPANE INC,3404202.69,167
DEERE & CO,3379941.09,89
"Schneider Electric Smart Grid Solutions, LLC",3322994.60,16
SHANNON CHEMICAL CORP,3309445.71,150
TRAVIS COUNTY,3307264.67,49
ACUSHNET COMPANY,3269869.89,206
QUADMED INC,3260995.28,1448
AVAYA INC,3247344.54,537
VWR INTERNATIONAL LLC,3234469.62,967
AUSTIN SCREEN PRINTING L P,3230148.35,1688
