vendor,total_authorized,total_ordered,num_contracts,departments,categories,utilization,source
"WISS, JANNEY, ELSTNER  ASSOCIATES INC",1400000.0,447909.15,1,Austin Water Utility,Professional Services,32.0,Professional Services
BRAUN INTERTEC CORPORATION,1400000.0,447909.15,1,Austin Water Utility,Professional Services,32.0,Professional Services
"AMTECH SOLUTIONS, INC.",1400000.0,447909.15,1,Austin Water Utility,Professional Services,32.0,Professional Services
KITCHELL CORPORATION,1400000.0,447909.15,1,Austin Water Utility,Professional Services,32.0,Professional Services
"MARMON MOK, LP",1374018.83,1374018.83,1,Austin Water Utility,Sole and Single Source,100.0,Professional Services
"COLOR-AD, INC",1251216.0,1251216.0,1,Austin Water Utility,Non-Professional Services,100.0,Professional Services
CBRE INC,1243000.0,1109000.0,1,Planning Dept,Professional Services,89.2,Professional Services
CHEMTRADE CHEMICALS CORPORATION,1200000.0,170905.0,1,Transportation & Public Works,Commodities (Goods),14.2,Professional Services
CONVERGINT TECHNOLOGIES L L C,1200000.0,401429.16,1,Equity Office,Non-Professional Services,33.5,Professional Services
"UDELHOVEN, INC.",1199428.0,1199428.0,1,Austin Water Utility,Commodities (Goods),100.0,Professional Services
MARMON MOK LLP,1162314.15,1162314.15,1,Austin Water Utility,Sole and Single Source,100.0,Professional Services
ASD CONSULTANTS INC,1103175.55,1103175.55,1,Austin Water Utility,Construction,100.0,Professional Services
WATERLOO MEDIA GROUP LP,1092500.0,1065131.24,1,Finance,Non-Professional Services,97.5,Professional Services
"SMART CHARGE RESIDENTIAL, LLC",1050000.0,38425.16,1,Development Services,Non-Professional Services,3.7,Professional Services
ELK ELECTRIC INC,1050000.0,38425.16,1,Development Services,Non-Professional Services,3.7,Professional Services
HOWMEDICA OSTEONICS CORP,1030000.0,139416.49,1,Human Resources,Sole and Single Source,13.5,Professional Services
"22ND CENTURY TECHNOLOGIES, INC",1000000.0,56500.0,1,Parks & Recreation,Non-Professional Services,5.6,Professional Services
RALPH ANDERSEN & ASSOCIATES,1000000.0,56500.0,1,Parks & Recreation,Non-Professional Services,5.6,Professional Services
"RAFTELIS FINANCIAL CONSULTANTS, INC.",1000000.0,56500.0,1,Parks & Recreation,Non-Professional Services,5.6,Professional Services
POLIHIRE STRATEGY LLC,1000000.0,56500.0,1,Parks & Recreation,Non-Professional Services,5.6,Professional Services
MOSAIC PUBLIC PARTNERS LLC,1000000.0,56500.0,1,Parks & Recreation,Non-Professional Services,5.6,Professional Services
LINCOLN LEADERSHIP ADVISORS LLC,1000000.0,56500.0,1,Parks & Recreation,Non-Professional Services,5.6,Professional Services
GOVHR USA LLC,1000000.0,56500.0,1,Parks & Recreation,Non-Professional Services,5.6,Professional Services
"BAKER TILLY US, LLP",1000000.0,56500.0,1,Parks & Recreation,Non-Professional Services,5.6,Professional Services
"ZRG PARTNERS, LLC",1000000.0,56500.0,1,Parks & Recreation,Non-Professional Services,5.6,Professional Services
FARMSHARE AUSTIN,987320.2,987320.2,1,Finance,Non-Professional Services,100.0,Professional Services
COOPER EQUIPMENT CO INC,960000.0,146500.0,1,Austin Police Department,Non-Professional Services,15.3,Professional Services
"ALEON PROPERTIES, INC.",920000.0,383898.93,1,Austin Energy,Non-Professional Services,41.7,Professional Services
