lgl_nm,total_spend,num_orders,vendor
MCKESSON MEDICAL-SURGICAL INC,9713490.14,2318,MCKESSON MEDICAL-SURGICAL INC
SHI-GOVERNMENT SOLUTIONS INC,9422312.22,942,SHI-GOVERNMENT SOLUTIONS INC
POLYDYNE INC,9313237.71,134,POLYDYNE INC
MATERA PAPER COMPANY INC,9132128.54,284,MATERA PAPER COMPANY INC
TYMCO INC,8986183.1,16,TYMCO INC
COOPER EQUIPMENT CO INC,8840025.15,109,COOPER EQUIPMENT CO INC
SIDDONS FIRE APPARATUS INC,8770075.64,20,SIDDONS FIRE APPARATUS INC
DELL FINANCIAL SERVICES LLC,8694846.22,96,DELL FINANCIAL SERVICES LLC
AUSTIN RIBBON & COMPUTER SUPPLIES INC,8531485.24,505,AUSTIN RIBBON & COMPUTER SUPPLIES INC
ZOLL Medical Corporation,8412349.04,858,ZOLL MEDICAL CORPORATION
STAPLES CONTRACT & COMMERCIAL INC,8359836.52,40,STAPLES CONTRACT & COMMERCIAL INC
SIRIUS COMPUTER SOLUTIONS INC,8160422.81,139,SIRIUS COMPUTER SOLUTIONS INC
Ingram Industries Inc.,8113918.29,114,INGRAM INDUSTRIES INC.
COMMUNITY TRUCKING LLC,8101766.01,2140,COMMUNITY TRUCKING LLC
GRAPEVINE DODGE CHRYSLER JEEP LLC,8078447.39,91,GRAPEVINE DODGE CHRYSLER JEEP LLC
MUNICIPAL EMERGENCY SERVICES INC,7931652.53,237,MUNICIPAL EMERGENCY SERVICES INC
OLDCASTLE MATERIALS TEXAS INC,7855516.59,423,OLDCASTLE MATERIALS TEXAS INC
MIDWEST TAPE LLC,7835195.63,763,MIDWEST TAPE LLC
ACLARA TECHNOLOGIES LLC,7713014.45,1,ACLARA TECHNOLOGIES LLC
Holt Truck Centers Of Texas LLC,7608881.95,35,HOLT TRUCK CENTERS OF TEXAS LLC
LEIF JOHNSON FORD,7542933.03,175,LEIF JOHNSON FORD
MOTOROLA CREDIT CO. LLC,7474357.86,1,MOTOROLA CREDIT CO. LLC
PARADIGM TRAFFIC SYSTEMS INC,7424019.2,173,PARADIGM TRAFFIC SYSTEMS INC
ACT PIPE & SUPPLY INC,7272174.78,2180,ACT PIPE & SUPPLY INC
PROFESSIONAL TURF PRODUCTS L P,7249920.51,198,PROFESSIONAL TURF PRODUCTS L P
"Creative Bus Sales, Inc.",7068592.67,14,"CREATIVE BUS SALES, INC."
"PulseMAC Solutions, LLC",6889386.25,21,"PULSEMAC SOLUTIONS, LLC"
Garrison Minerals LLC,6885820.75,45,GARRISON MINERALS LLC
Oracle America Inc,6793666.55,7,ORACLE AMERICA INC
Fujitsu North America Inc.,6754009.12,6,FUJITSU NORTH AMERICA INC.
HENRY SCHEIN INC,6615250.78,2820,HENRY SCHEIN INC
BTAC Acquisition Corp.,6503189.07,90,BTAC ACQUISITION CORP.
Lauren Concrete Inc.,6197807.49,783,LAUREN CONCRETE INC.
MITSUBISHI ELECTRIC POWER PRODUCTS INC,6127296.0,11,MITSUBISHI ELECTRIC POWER PRODUCTS INC
ADVANCE STORES COMPANY INC,6092739.07,12,ADVANCE STORES COMPANY INC
Kando Partners,6054334.15,249,KANDO PARTNERS
Delta Fire & Safety Inc,5975448.34,169,DELTA FIRE & SAFETY INC
FSTI INC,5949870.29,278,FSTI INC
"Open Systems International, Inc.",5759041.06,28,"OPEN SYSTEMS INTERNATIONAL, INC."
ARNOLD OIL COMPANY OF AUSTIN L P,5694188.46,320,ARNOLD OIL COMPANY OF AUSTIN L P
FORD AUDIO-VIDEO SYSTEMS LLC,5581842.64,217,FORD AUDIO-VIDEO SYSTEMS LLC
"Tony Parent Enterprises, Inc.",5551395.63,216,"TONY PARENT ENTERPRISES, INC."
CONSOLIDATED TRAFFIC CONTROLS INC,5403183.65,370,CONSOLIDATED TRAFFIC CONTROLS INC
KINLOCH EQUIPMENT & SUPPLY INC,5395135.75,144,KINLOCH EQUIPMENT & SUPPLY INC
