stop_id,stop_name,council_district,trip_count,amenity_gap,bench_present,shelter_present,total_311_reports,open_311_reports,closed_311_reports,unresolved_rate,safety_related_reports,safety_share,planned_improvement_points,demand_index,service_index,existing_infra_index,planned_supply_index,supply_index,gap_score,gap_index_100,gap_priority,capital_source
501,Guadalupe/16th Street,9,2156,2,0,0,138.0,116.0,22.0,0.8405797101449275,30.0,0.21739130434782608,0.0,0.9047560726678914,0.5273124544792426,0.0,0.0,0.2636562272396213,0.6410998454282701,64.1,SEVERE GAP,no_capital_plan_file_found
5940,1609 Lavaca/17th (Midblock),9,2215,2,0,0,142.0,113.0,29.0,0.795774647887324,33.0,0.2323943661971831,0.0,0.9220657276995305,0.5702840495265841,0.0,0.0,0.28514202476329203,0.6369237029362385,63.7,SEVERE GAP,no_capital_plan_file_found
498,Guadalupe/W. 21st Street,9,1994,2,0,0,112.0,91.0,21.0,0.8125,36.0,0.32142857142857145,0.0,0.8381161971830986,0.4093226511289148,0.0,0.0,0.2046613255644574,0.6334548716186412,63.3,SEVERE GAP,no_capital_plan_file_found
1368,501 Pleasant Valley/5th,3,1554,2,0,0,85.0,67.0,18.0,0.788235294117647,20.0,0.23529411764705882,0.0,0.6468774739942926,0.08885651857246904,0.0,0.0,0.04442825928623452,0.6024492147080581,60.2,SEVERE GAP,no_capital_plan_file_found
2643,Lavaca/4th,9,2147,2,0,0,135.0,106.0,29.0,0.7851851851851852,26.0,0.1925925925925926,0.0,0.8553521126760564,0.5207574654042243,0.0,0.0,0.26037873270211215,0.5949733799739443,59.5,SEVERE GAP,no_capital_plan_file_found
5868,Republic Square Station (NB),9,1495,2,0,0,82.0,64.0,18.0,0.7804878048780488,15.0,0.18292682926829268,0.0,0.6062120691629452,0.045884923525127456,0.0,0.0,0.022942461762563728,0.5832696074003815,58.3,SEVERE GAP,no_capital_plan_file_found
5849,Northcross Station (SB),7,1494,2,0,0,78.0,60.0,18.0,0.7692307692307693,18.0,0.23076923076923078,0.0,0.6054171180931744,0.04515659140568099,0.0,0.0,0.022578295702840496,0.5828388223903339,58.3,SEVERE GAP,no_capital_plan_file_found
2613,Guadalupe/4th,9,1813,2,0,0,92.0,75.0,17.0,0.8152173913043478,24.0,0.2608695652173913,0.0,0.7018422126964686,0.27749453750910413,0.0,0.0,0.13874726875455207,0.5630949439419166,56.3,SEVERE GAP,no_capital_plan_file_found
5879,Bluebonnet Station (SB),5,1486,2,0,0,75.0,52.0,23.0,0.6933333333333334,19.0,0.25333333333333335,0.0,0.5776400625978091,0.03932993445010925,0.0,0.0,0.019664967225054626,0.5579750953727545,55.8,SEVERE GAP,no_capital_plan_file_found
5349,West 38th Station (SB),9,1471,2,0,0,72.0,55.0,17.0,0.7638888888888888,15.0,0.20833333333333334,0.0,0.5660211267605634,0.028404952658412235,0.0,0.0,0.014202476329206118,0.5518186504313572,55.2,SEVERE GAP,no_capital_plan_file_found
