year,complaints_total,shelter_complaints,bench_complaints,weather_complaints,safety_complaints,sidewalk_ada_complaints,safety_share,shelter_complaints_share,bench_complaints_share,weather_complaints_share,safety_complaints_share,sidewalk_ada_complaints_share
2023,443,221,105,47,40,8,0.09029345372460497,0.49887133182844245,0.23702031602708803,0.10609480812641084,0.09029345372460497,0.01805869074492099
2024,405,200,83,39,50,10,0.12345679012345678,0.49382716049382713,0.20493827160493827,0.0962962962962963,0.12345679012345678,0.024691358024691357
2025,461,231,109,46,49,5,0.10629067245119306,0.5010845986984815,0.23644251626898047,0.09978308026030369,0.10629067245119306,0.010845986984815618
2026,118,60,28,10,13,2,0.11016949152542373,0.5084745762711864,0.23728813559322035,0.0847457627118644,0.11016949152542373,0.01694915254237288
