council_district,stops_analyzed,avg_problem_score,max_problem_score,total_calls,unresolved_tickets,avg_unresolved_rate_pct,top_problem_stop
3,1,0.665,0.665,85.0,67.0,78.8,501 Pleasant Valley/5th
4,1,0.606,0.606,67.0,52.0,77.6,North Lamar Transit Center
9,19,0.474,0.995,1122.0,873.0,44.6,1609 Lavaca/17th (Midblock)
5,2,0.382,0.644,75.0,52.0,34.6,Bluebonnet Station (SB)
7,2,0.318,0.635,78.0,60.0,38.4,Northcross Station (SB)
