census_tract,stops,total_calls,avg_amenity_gap,avg_weekly_trips
001102,3,309.0,2.0,1818.3333333333333
000700,4,280.0,1.25,1092.75
001101,4,156.0,1.25,793.75
000608,2,112.0,1.5,997.0
000601,2,98.0,1.5,921.5
001311,1,95.0,2.0,1831.0
000902,1,85.0,2.0,1554.0
001501,1,78.0,2.0,1494.0
001304,2,75.0,1.5,743.0
000204,2,72.0,1.0,735.5
040100,1,67.0,2.0,1432.0
000500,1,0.0,1.0,0.0
001504,1,0.0,0.0,0.0
