council_district,stops,total_open_tickets,avg_response_rate,avg_open_ticket_age_days,total_open_over_1yr,total_open_over_3yr,avg_amenity_gap,capmetro_pct,city_pct,unresolved_burden_score
9,11,873,22.9,501.5,611,72,2.0,82.4,12.6,673.1
3,1,67,21.0,498.5,44,10,2.0,88.2,8.2,52.9
7,1,60,23.0,490.4,40,4,2.0,83.3,9.0,46.2
4,1,52,22.0,508.8,35,6,2.0,83.6,11.9,40.6
5,1,52,31.0,507.2,33,3,2.0,81.3,13.3,35.9
