council_district,stops,total_311_reports,open_311_reports,total_trip_count,avg_demand_index,avg_supply_index,avg_gap_index_100,planned_improvement_points,district_gap_rank
3,1,85.0,67.0,1554,0.6468774739942926,0.04442825928623452,60.2,0.0,1
4,1,67.0,52.0,1432,0.540973536075491,0.0,54.1,0.0,2
5,2,75.0,52.0,2972,0.28882003129890454,0.09466496722505462,19.4,0.0,3
9,19,1122.0,873.0,37653,0.4145557745605564,0.2870376049373251,12.752631578947367,0.0,4
7,2,78.0,60.0,3193,0.3027085590465872,0.20990531682447194,9.299999999999997,0.0,5
