council_district,Digital,Other,Phone,total,pct_phone,pct_digital
0,7604,702,27600,35906,76.9,21.2
1,51457,2625,100863,154945,65.1,33.2
2,30858,1817,81300,113975,71.3,27.1
3,57147,1844,88881,147872,60.1,38.6
4,41381,1022,74385,116788,63.7,35.4
5,35290,1320,78149,114759,68.1,30.8
6,22286,847,39121,62254,62.8,35.8
7,37498,1229,71382,110109,64.8,34.1
8,25015,1190,57843,84048,68.8,29.8
9,109139,2328,97081,208548,46.6,52.3
10,30663,1208,69550,101421,68.6,30.2
