category,ada_incidents,unresolved_incidents,unresolved_rate_pct
Missing Shelter,174,145,83.3
Missing Benches,78,62,79.5
Weather Exposure,26,18,69.2
Sidewalk/ADA,25,24,96.0
Safety Concerns,22,18,81.8
Safety (Lighting),17,15,88.2
