year,complaints_total,shelter_complaints,bench_complaints,weather_complaints,safety_complaints,sidewalk_ada_complaints,safety_share
2023,443,221,105,47,40,8,0.09029345372460497
2024,405,200,83,39,50,10,0.12345679012345678
2025,461,231,109,46,49,5,0.10629067245119306
2026,118,60,28,10,13,2,0.11016949152542373
