stop_name,ada_incidents,unresolved_incidents,avg_age_days,unresolved_rate_pct
Guadalupe/16th Street,138,116,504.0,84.1
Guadalupe/W. 21st Street,112,91,489.6,81.2
Guadalupe/4th,92,75,446.4,81.5
