council_district,stops,total_calls,avg_amenity_gap,avg_weekly_trips
9,19,1122.0,1.4210526315789473,1060.0
3,1,85.0,2.0,1554.0
7,2,78.0,1.0,747.0
5,2,75.0,1.5,743.0
4,1,67.0,2.0,1432.0
