stop_id,stop_name,lat,lon,geoid,tract_name,tract_total_311_reports,tract_reports_per_1k_pop,tract_reports_per_sqkm,tract_pct_phone,tract_pct_digital,tract_pop2020,tract_density_tier,tract_digital_access
5940,1609 Lavaca/17th (Midblock),30.27883429,-97.74135767,48453000700,Census Tract 7,6102,4324.6,3778.0,49.2,49.2,1411,VERY HIGH (≥2000/1k),MODERATE DIGITAL
501,Guadalupe/16th Street,30.27896216,-97.74270752,48453000700,Census Tract 7,6102,4324.6,3778.0,49.2,49.2,1411,VERY HIGH (≥2000/1k),MODERATE DIGITAL
2643,Lavaca/4th,30.26668897,-97.74586257,48453001102,Census Tract 11.02,23978,5975.1,52710.7,27.2,72.0,4013,EXTREME (≥5000/1k),HIGH DIGITAL
498,Guadalupe/W. 21st Street,30.28338403,-97.74208129,48453000608,Census Tract 6.08,7806,1476.7,41297.4,40.1,59.1,5286,HIGH (≥1000/1k),HIGH DIGITAL
5864,UT Dean Keeton Station (NB),30.290239999999997,-97.74125,48453000606,Census Tract 6.06,7807,1557.7,24897.9,41.1,58.1,5012,HIGH (≥1000/1k),HIGH DIGITAL
2763,Vic Mathias/Auditorium Shores (SB),30.25876667,-97.7487,48453001311,Census Tract 13.11,9112,5502.4,8236.2,35.6,63.1,1656,EXTREME (≥5000/1k),HIGH DIGITAL
2613,Guadalupe/4th,30.267331,-97.747037,48453001102,Census Tract 11.02,23978,5975.1,52710.7,27.2,72.0,4013,EXTREME (≥5000/1k),HIGH DIGITAL
6314,115 7Th/Colorado,30.269226,-97.743548,48453001101,Census Tract 11.01,17885,7920.7,15623.8,36.2,62.8,2258,EXTREME (≥5000/1k),HIGH DIGITAL
1368,501 Pleasant Valley/5th,30.257443,-97.710596,48453000902,Census Tract 9.02,12981,1663.6,4268.1,53.1,45.5,7803,HIGH (≥1000/1k),MODERATE DIGITAL
5868,Republic Square Station (NB),30.26621768,-97.74605645,48453001102,Census Tract 11.02,23978,5975.1,52710.7,27.2,72.0,4013,EXTREME (≥5000/1k),HIGH DIGITAL
5849,Northcross Station (SB),30.35421667,-97.73211694,48453001504,Census Tract 15.04,8276,1298.4,3142.3,54.9,44.1,6374,HIGH (≥1000/1k),MODERATE DIGITAL
5879,Bluebonnet Station (SB),30.24676612,-97.7778743,48453001304,Census Tract 13.04,8564,2095.4,4684.9,54.5,44.4,4087,VERY HIGH (≥2000/1k),MODERATE DIGITAL
5349,West 38th Station (SB),30.30440528,-97.74159384,48453000204,Census Tract 2.04,7152,2258.3,3923.3,56.9,41.8,3167,VERY HIGH (≥2000/1k),MODERATE DIGITAL
6315,8th Street NB (Trinity/8th),30.269216,-97.738446,48453001101,Census Tract 11.01,17885,7920.7,15623.8,36.2,62.8,2258,EXTREME (≥5000/1k),HIGH DIGITAL
5859,North Lamar Transit Center,30.34932551,-97.71168455,48453040100,Census Tract 401,5377,1249.9,3535.7,65.4,34.1,4302,HIGH (≥1000/1k),MODERATE DIGITAL
497,UT West Mall Station (SB),30.286231,-97.741771,48453000608,Census Tract 6.08,7806,1476.7,41297.4,40.1,59.1,5286,HIGH (≥1000/1k),HIGH DIGITAL
591,Capitol Station (NB),30.27558669,-97.7425576,48453000700,Census Tract 7,6102,4324.6,3778.0,49.2,49.2,1411,VERY HIGH (≥2000/1k),MODERATE DIGITAL
1042,2231 Guadalupe/West Mall UT,30.285753999999997,-97.74162,48453000608,Census Tract 6.08,7806,1476.7,41297.4,40.1,59.1,5286,HIGH (≥1000/1k),HIGH DIGITAL
603,31st Street Rapid  Station (NB),30.297767,-97.741167,48453000605,Census Tract 6.05,6037,1299.7,12666.0,49.4,49.6,4645,HIGH (≥1000/1k),MODERATE DIGITAL
2606,Austin History Center Station (NB),30.27042,-97.74444,48453001101,Census Tract 11.01,17885,7920.7,15623.8,36.2,62.8,2258,EXTREME (≥5000/1k),HIGH DIGITAL
2328,Oltorf West Station (SB),30.248028,-97.771756,48453001304,Census Tract 13.04,8564,2095.4,4684.9,54.5,44.4,4087,VERY HIGH (≥2000/1k),MODERATE DIGITAL
2738,Capitol Station (SB),30.275022,-97.744169,48453000700,Census Tract 7,6102,4324.6,3778.0,49.2,49.2,1411,VERY HIGH (≥2000/1k),MODERATE DIGITAL
5357,31st Street Station (SB),30.298050999999997,-97.741261,48453000605,Census Tract 6.05,6037,1299.7,12666.0,49.4,49.6,4645,HIGH (≥1000/1k),MODERATE DIGITAL
2611,Austin History Center Station (SB),30.27105714,-97.74565503,48453001101,Census Tract 11.01,17885,7920.7,15623.8,36.2,62.8,2258,EXTREME (≥5000/1k),HIGH DIGITAL
5604,Crestview Station Bus Stop,30.338721,-97.719548,48453001504,Census Tract 15.04,8276,1298.4,3142.3,54.9,44.1,6374,HIGH (≥1000/1k),MODERATE DIGITAL
