Stop Name,Total ADA-Related Complaints,Sidewalk/ADA Category,Keyword-Only Match,Year 2023,Year 2024,Year 2025,Year 2026
Guadalupe/16th Street,138,8,130,41,45,38,14
Guadalupe/W. 21st Street,112,10,102,39,31,34,8
Guadalupe/4th,92,7,85,24,24,36,8
