STOP_ID,STOP_NAME,BENCHES,SHELTERS,BIKERACKS,TRASHCANS,LATITUDE,LONGITUDE
5305,3301 Wells Branch/Howard,True,False,False,True,30.44010377,-97.69526801
5302,TECH RIDGE BAY F,False,False,False,True,30.418324899999998,-97.66906965
5279,TECH RIDGE BAY J,False,False,False,True,30.41816086,-97.66799619
5191,MONTOPOLIS/CADDIE,False,False,False,False,30.22734989,-97.70200698
243,RIO GRANDE/15TH,True,False,False,True,30.27896561,-97.74633874
465,8912 LAMAR/PAYTON GIN,False,False,False,False,30.35783,-97.70014
467,FAIRFIELD RAPID  STATION (SB),True,True,True,True,30.35529611,-97.70312790000001
468,LAMAR/THURMOND,True,True,False,True,30.35313912,-97.70608203
471,7720 LAMAR/STOBAUGH,False,False,False,True,30.34604383,-97.71396555
472,7520 LAMAR/MORROW,True,False,False,True,30.34373908,-97.7153006
474,6814 LAMAR/JUSTIN,True,True,False,True,30.336204000000002,-97.720006
475,6600 LAMAR/BRENTWOOD,True,True,False,True,30.334163,-97.72131399999999
476,6200 LAMAR/DENSON,True,True,False,True,30.330984,-97.72328800000001
480,5528 LAMAR/KOENIG,True,True,False,False,30.324188000000003,-97.727573
483,5106 LAMAR/51ST,True,True,False,True,30.319053,-97.73080900000001
484,TRIANGLE STATION (SB),True,True,True,True,30.314586,-97.73252600000001
485,4500 GUADALUPE/45TH,True,True,False,True,30.311103,-97.73300900000001
486,GUADALUPE/43RD STREET,True,True,False,True,30.308828000000002,-97.73440599999999
487,GUADALUPE/41ST STREET,True,True,False,True,30.306695,-97.73577399999999
489,GUADALUPE/MAIDEN,True,True,False,True,30.301663,-97.738974
490,GUADALUPE/34TH STREET,True,True,False,True,30.300465,-97.73971399999999
494,GUADALUPE/27TH STREET,True,True,False,True,30.292195000000003,-97.741316
497,UT WEST MALL STATION (SB),True,True,False,True,30.286231,-97.741771
498,Guadalupe/W. 21St Street,True,True,False,True,30.28338403,-97.74208129
501,GUADALUPE/16TH STREET,False,False,False,False,30.27896216,-97.74270752
517,612 CONGRESS/RIVERSIDE,True,True,False,True,30.255385309999998,-97.74768538000001
522,2020 CONGRESS/CROCKETT,True,False,False,True,30.24305764,-97.75226256
526,2622 Congress/Cumberland,True,False,False,True,30.235694820000003,-97.75637374
527,2918 CONGRESS/LA VISTA,True,False,False,True,30.232590000000002,-97.75853
529,CONGRESS/PICKLE,True,False,False,True,30.22689556,-97.76193454999999
531,4210 Congress/Radam,False,False,False,True,30.220762710000002,-97.76541117
543,4722 CONGRESS/SHERATON,True,False,False,True,30.21474847,-97.76923202
545,5300 CONGRESS/RAMBLE,False,False,False,True,30.20868505,-97.77310811
546,Stassney SB Rapid,True,True,False,True,30.204553,-97.775064
550,115 WILLIAM CANNON/CIRCLE S,True,True,False,True,30.19266374,-97.77784079999999
551,409 WILLIAM CANNON/CIRCLE S,True,False,False,True,30.19208226,-97.77603682
552,601 WILLIAM CANNON/CIRCLE S,True,False,False,True,30.19138657,-97.77352978
553,Nelms/Bluff Springs,True,False,False,True,30.19273826,-97.76532653999999
554,BLUFF SPRINGS/WILLIAM CANNON,True,True,False,True,30.189427249999998,-97.76787922999999
555,412 WILLIAM CANNON/NORTH BLUFF,True,True,False,True,30.19177278,-97.77413853
556,110 WILLIAM CANNON/CIRCLE S,True,True,False,True,30.19297089,-97.77795451
558,6319 Congress/Circle S,True,True,False,True,30.197391869999997,-97.77690803
559,LITTLE TEXAS STATION (NB),True,True,True,True,30.20214533,-97.77551477
560,5405 CONGRESS/MOCKINGBIRD,True,True,False,True,30.20710733,-97.7737329
568,CONGRESS/ALPINE,False,False,False,True,30.22824773,-97.76094296000001
571,2705 CONGRESS/CUMBERLAND,True,True,False,True,30.23534693,-97.75632992999999
573,2203 Congress/Live Oak,True,True,False,False,30.24168937,-97.75242261999999
574,1901 CONGRESS/MARY,True,False,False,True,30.245024020000002,-97.75121189
576,CONGRESS/THE CIRCLE,True,False,False,True,30.25153144,-97.74878917
577,611 CONGRESS/ACADEMY,True,False,False,True,30.25534046,-97.74738952
590,Lavaca/12Th,True,False,False,True,30.27440792,-97.74299518000001
591,CAPITOL STATION (NB),True,True,True,True,30.27558669,-97.74255760000001
593,LAVACA/15TH,False,True,False,False,30.27738322,-97.74189415
603,31St Street Rapid  Station (NB),True,True,False,True,30.297767,-97.741167
604,GUADALUPE/34TH,True,False,False,True,30.300774,-97.739282
605,Guadalupe/38Th,False,False,False,True,30.302540999999998,-97.738161
606,HYDE PARK STATION (NB),True,True,True,True,30.304422000000002,-97.736957
607,GUADALUPE/41ST,False,False,False,True,30.306259,-97.73578499999999
608,GUADALUPE/43RD,False,False,False,True,30.308470999999997,-97.73436600000001
609,4413 GUADALUPE/45TH,True,False,False,True,30.310684000000002,-97.732962
610,TRIANGLE STATION (NB),True,True,True,True,30.314795999999998,-97.73226600000001
611,5007 LAMAR/51ST,True,True,False,True,30.318461,-97.730908
612,NORTH LOOP EAST RAPID STATION (NB),True,True,True,True,30.321317,-97.729114
613,5419 Lamar/Nelray,True,False,False,True,30.32278,-97.72821
614,5555 LAMAR/NELRAY,True,True,False,True,30.324163000000002,-97.727339
617,6201 LAMAR/DENSON,True,True,False,True,30.330183,-97.723541
618,6541 Lamar/Brentwood,False,False,False,True,30.333864,-97.7212
620,7240 Lamar/St Johns,True,True,False,True,30.339956,-97.71769
622,7545 LAMAR/MORROW,True,False,False,True,30.343850000000003,-97.71492
623,8071 Lamar/Research,True,True,False,True,30.34828348,-97.71155795
624,8415 LAMAR/THURMOND,True,True,False,True,30.3531206,-97.70572969999999
627,8745 LAMAR/DEEN,False,False,False,True,30.356404870000002,-97.70123967
628,8911 Lamar/Carpenter,True,False,False,True,30.35813794,-97.69962717
634,Oak Springs SB (Oak Springs/Airport),False,False,False,True,30.273609999999998,-97.69835
635,OAK SPRINGS/RIDGEWAY,True,True,False,True,30.27255583,-97.70456793
637,2420 ROSEWOOD/BEDFORD,True,True,False,True,30.272319460000002,-97.70829629
638,2370 Rosewood/Hargrave,False,False,False,True,30.271236000000002,-97.710649
657,907 11TH/BRANCH,True,True,False,True,30.26986048,-97.73124103
658,11TH/WALLER,True,True,False,True,30.2692707,-97.72968099
659,1201 11Th/Lydia,False,True,False,False,30.268613249999998,-97.72781951
661,1319 ROSEWOOD/ANGELINA,False,False,False,True,30.26878,-97.72446000000001
663,1909 Rosewood/Chicon,False,False,False,False,30.26969617,-97.71860068
665,2399 ROSEWOOD/HARGRAVE,False,False,False,True,30.271107,-97.710539
666,ROSEWOOD/WEBBERVILLE,True,False,False,True,30.27235735,-97.70514373
667,2807 Oak Springs/Webberville,True,True,False,True,30.27278742,-97.70232089
668,3201 OAK SPRINGS/AIRPORT,True,True,False,True,30.27348377,-97.69812723
669,OAK SPRINGS/SPRINGDALE,True,True,False,True,30.27353366,-97.69129579
674,NORTHCROSS TRANSFER CENTER,False,False,False,False,30.35361,-97.73592000000001
675,7500 Burnet/Richcreek,True,False,False,True,30.35065955,-97.73436184
678,BURNET/TWIN OAKS DR.,True,False,False,True,30.34269291,-97.73867123000001
684,North Loop Station (SB),True,True,False,True,30.324999079999998,-97.73968146
685,BURNET/HANCOCK,True,False,False,True,30.32221273,-97.73943584
686,BURNET/W. 49TH,True,False,False,True,30.32033263,-97.73931346
687,BURNET/W. 47TH,False,False,False,False,30.31812557,-97.73995173
688,Burnet/W. 45Th,True,False,False,True,30.31552807,-97.74162146
689,4214 MEDICAL PARKWAY/43RD,True,False,False,True,30.3124743,-97.742371
690,4112 MEDICAL PARKWAY/42ND,True,False,False,True,30.31090076,-97.74266652
691,MEDICAL PKWY/W. 40TH,True,False,False,True,30.30856554,-97.74274465
716,800 CESAR CHAVEZ/WEST,True,True,False,True,30.265741,-97.752406
717,B R Reynolds/Lamar,True,False,False,False,30.267401569999997,-97.75657645
722,1414 LAMAR/Collier/SB,False,False,False,False,30.25246518,-97.76411399
728,2806 Menchaca/LIGHTSEY,True,True,False,True,30.24303493,-97.78162764
729,3204 Menchaca/GLEN ALLEN,False,False,False,True,30.240345190000003,-97.7822417
730,3624 Menchaca/LARCHMONT,True,False,False,True,30.237452270000002,-97.78356842000001
732,3906 Menchaca/PRATHER,True,False,False,True,30.23396888,-97.78576524
733,4308 Menchaca/BEN WHITE,True,False,False,True,30.230503679999998,-97.78811229
734,4430 Menchaca/REDD,False,True,False,False,30.22846366,-97.78938049
735,4616 Menchaca/FOREST HILL,False,False,False,False,30.225990969999998,-97.79091579
736,4804 Menchaca/FRONTIER,False,False,False,False,30.223742910000002,-97.79234742
737,5000 Menchaca/JONES,False,False,False,True,30.22097509,-97.79406743999999
739,5322 Menchaca/INVERNESS,False,False,False,False,30.217683320000003,-97.79609279
740,5532 Menchaca/STASSNEY,True,True,False,True,30.216058070000003,-97.79716315
742,5720 Menchaca/WHITESTONE,True,True,False,True,30.21439146,-97.79951932
